Pais,Continente,Limita con
Francia,Europa,"Alemania,España,Italia"
Gran Bretaña,Europa,"Islandia,Alemania,España"
Tartaria,Asia,"Aral,Taymir,Siberia"
Mongolia,Asia,"Aral,Siberia,Iran,Gobi,China"
Zaire,Africa,"Madagascar,Sudafrica,Etiopia,Sahara"
Polonia,Europa,"Alemania,Rusia,Turquia,Egipto"
Oregon,America del Norte,"Alaska,Yukon,Canada,Nueva York,California"
Etiopia,Africa,"Sahara,Egipto,Zaire,Sudafrica"
Chile,America del Sur,"Argentina,Peru,Australia"
Australia,Oceania,"Chile,Sumatra,Java,Borneo"
Kamtchatka,Asia,"Siberia,China,Japon,Alaska"
Egipto,Africa,"Polonia,Turquia,Israel,Madagascar,Etiopia,Sahara"
Turquia,Asia,"Egipto,Polonia,Rusia,Iran,Israel,Arabia"
Nueva York,America del Norte,"Groenlandia,Canada,Oregon,California,Terranova"
Terranova,America del Norte,"Labrador,Canada,Nueva York"
Iran,Asia,"Aral,Mongolia,Gobi,China,India,Turquia,Rusia"
Madagascar,Africa,"Egipto,Zaire"
Argentina,America del Sur,"Chile,Peru,Brasil,Uruguay"
Israel,Asia,"Turquia,Arabia,Egipto"
Rusia,Europa,"Suecia,Aral,Iran,Turquia,Polonia"
Borneo,Oceania,"Australia,Malasia"
California,America del Norte,"Oregon,Nueva York,Mexico"
Taymir,Asia,"Tartaria,Siberia"
Aral,Asia,"Rusia,Iran,Mongolia,Siberia,Tartaria"
Siberia,Asia,"Aral,Tartaria,Taymir,Kamtchatka,China,Mongolia"
Canada,America del Norte,"Yukon,Oregon,Nueva York,Terranova"
Sahara,Africa,"Brasil,España,Egipto,Etiopia,Zaire"
Yukon,America del Norte,"Alaska,Canada,Oregon"
Uruguay,America del Sur,"Argentina,Brasil"
Groenlandia,America del Norte,"Labrador,Nueva York,Islandia"
Japon,Asia,"Kamtchatka,China"
Sumatra,Oceania,"Australia,India"
Alaska,America del Norte,"Yukon,Oregon,Kamtchatka"
Brasil,America del Sur,"Colombia,Peru,Argentina,Uruguay,Sahara"
Gobi,Asia,"Mongolia,China,Iran"
Italia,Europa,"Alemania,Francia"
España,Europa,"Sahara,Francia,Gran Bretaña"
Colombia,America del Sur,"Mexico,Peru,Brasil"
Suecia,Europa,"Rusia,Islandia"
Sudafrica,Africa,"Zaire,Etiopia"
Arabia,Asia,"Turquia,Israel"
India,Asia,"China,Malasia,Iran,Sumatra"
Java,Oceania,Australia
Mexico,America del Norte,"Colombia,California"
Peru,America del Sur,"Colombia,Brasil,Chile,Argentina"
Alemania,Europa,"Polonia,Italia,Gran Bretaña,Francia"
China,Asia,"Kamtchatka,Siberia,Mongolia,Gobi,Iran,India,Malasia,Japon"
Labrador,America del Norte,"Groenlandia,Terranova"
Islandia,Europa,"Groenlandia,Suecia,Gran Bretaña"
Malasia,Asia,"China,India,Borneo"